address,city,lat,long,name,province,websites,phones,id
500 Beecher St,Louisville,38.191778,-85.768474,5th Street Corner Pub Iii,KY,,5023804539,55
945 Broadway St N E,Minneapolis,44.99892243,-93.24684699,612 Brew,MN,http://www.612brew.com,6122170437,56
635 W Girard Ave,Philadelphia,39.970556,-75.147592,635 West Girard Inc,PA,,2157692019,57
2257 Highway 64,Morrilton,35.15428389,-92.69471638,64 E Liquor,AR,,5013544562,58
6400 Vine St,Philadelphia,39.96741,-75.24803,6400 Red Sea,PA, pennsylvania,2154727524,59
247 S 2nd St,Coos Bay,43.36651922,-124.21511389999999,7 Devils Brewing Co.,OR,7devilsbrewery.com,"15418083738, 5418083738",60
507 513 N W G Ave,Fabens,31.5106988,-106.1569035,7 Pinos,TX,,,61
1400 Lake St,Northmankato,44.188596000000004,-94.020494,7 Up Bottling Co of Mankato,MN,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EGQ6wFBP1R9j_yPfgIG2qmnnU3b4EFXLWYqzqH6pileJnsDBgYjhj6412OE3eqoLyrSIPEJpXfr10mUiQbRKfZCKZytUuX1ZpMEsmU-K0mL9uCZDhf-nRxkx0xcmqFX3TZTiNoK_LLFKzM4tXpEgtM6BtXv1F1DttY4EUTS9U1hGFhGcwng9OtrA_ChIKSsCZjTHkfFbh1Ltby5RGofKdm_1GpNllMpBfk3W0dvEW0lFtHA01bbyaeBe8EelxoquJZstlc82ikmBDm9q7uWiqjO5hSRyzf8s0xd_qQMDNKy0VDY7oDLMLBpWNrPSPWc2XBc3BQPOEI_c4sF0u5F9mqjyFAUflZSRypprMx7dBIGf0YNvK7Na3_ENbb_rHfxOyhHf59BQ0WdCrRxUhBxv2LzNEnY9IxngUwOOogNhC9EEEkIsDyrE5RTSuSpAFDgKguizOfqalUnTqKRE-ChHjNx4BGX_sMsC0esGYtkcIG9XXGpIvpw4vGZZXOJUrZnU5vTpAHm9zeCrwGIJLWUbkCQ&placement=listing_profile.b&cs_user=unknown&cs_session=f3dacf57cb61fe32d7c80e06ca522e3e36547392,5073454926,62
2012 S Pearl St,Fresno,36.722348,-119.775127,7 Up Rc Bottling Co,CA,,5594421553,63
520 W 75th St,Kansascity,38.992615,-94.596036,75th Street Brewery,MO,http://www.75thstreet.com,8165234677,64
47 Washington St,Dover,43.19535958,-70.87258212,7th Settlement,NH,7thsettlement.com,6033731001,65
1050 N Fairway Doctor F,Avondale,33.45448735,-112.3263172,8-bit Aleworks,AZ,http://www.8-bitaleworks.com,6239251650,66
1107 S 8th St,Clinton,41.834133,-90.20396099999999,8th St Inn,IA,,5632436200,67
207 8th St,Hoquiam,46.977369,-123.88316950000001,8th Street Ale House,WA,mailto:james.galwaybay@gmail.com,3606123455,68
2202 Dallas St,Houston,29.749066,-95.35579200000001,8th Wonder Brewery,TX,8thwonderbrew.com,"(713) 229-0868, 7132290868",69
900 Pratt St,Philadelphia,40.030702000000005,-75.092984,900 Anastasia Llc,PA,,2156138898,70
1718 S Elm St,Sherman,33.617188,-96.60703000000001,903 Brewers,TX,,"12142438090, [12142438090]",71
62 Red Bank Dr,Sicklerville,39.76773,-75.03596999999999,99 Bottles Nanobrewery,NJ,,8569054308,72
1235 Flynn Rd,Camarillo,34.229651000000004,-119.019593,A & G Intl Inc,CA,,8054458400,73
218 State St,Brewer,44.78782437,-68.75453435,A & L Limousine,ME,,2079410866,74
175 High St,Portsmouth,43.07893,-70.759527,A and G Homebrew Supply,NH,,6035010174,75
222 N 1st Ave,Sandpoint,48.274623999999996,-116.54751,A and P Bar and Grill,ID,,2082632313,76
483 S Kirkwood Rd,Stlouis,38.57458,-90.406531,A B S Coffee Repair,MO,,3143892866,77
38 Blake St,Brewer,44.791047999999996,-68.760766,A Better Image,ME,,2079892465,78
12 Mcguinness Blvd S,Brooklyn,40.72241586,-73.94694911,A Brooklyn Brew Experiment,NY,,,79
162 Parkway S,Brewer,44.780025,-68.76066999999999,A J Scott Systems Inc,ME,,"2079896140, 2079899666",80
550 Island Ln,W Haven,41.2628,-72.97638,A Plus Plumbing and Heating,CT,http://www.aplusplumbingheatingct.com,"4752026649, 2039370562",81
1215 Tuscarawas St W,Canton,40.8006,-81.38611999999999,A R Whistle Stop,OH,,3304554103,82
219 Chamberlain St,Brewer,44.78572,-68.750293,A U Liberatore Dds,ME,,2079892391,83
209 Battery Saint 100,Burlington,44.473512,-73.218899,A&s Brewing Collaborative Llc,VT,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJuG6bS8B5OV0oGSVzjIR1ZyJe2Za4oGSuAGNuAe8LmZRkkcJddwKLV-3asUPLK1Xs-17nZJw9mSLq4On0AASGh2daXDGOZmnKFKMvLsWC0RUjtkRY-X9aiOUdlMN63gjs5RxbpbNxLan-eaX7E17qXCtIUvsJK03hozt48pka5vpNL0Xz3Rd_XKvPia0VyIoj07gR3J6ggz8drcGM9h-EfIHwccxsBfsR3U2B8tZLIOpBDdFWbKxiRjfL_zdN_Bf4RqJIk_uPOXdTTqUcUv5Qu1YUGzSEoDZocHo81c6AyzhpDP4d82ir3EptqeSVIx-Af1Ux1qBWBMH3eOXuVpY0uedo5bIEsj0C1lAjHONAA4A&placement=listing_profile&cs_user=unknown&cs_session=cd718fb064c1c1e43e0cd7eab2fef855ce3d22ca,,84
2640 N Dickenson Ave,Fresno,36.774384000000005,-119.97003000000001,A. Nonini Winery,CA,http://noniniwinery.com,5592751936,85
112 Medinah Ct,Frankfort,38.184165,-84.79192900000001,A-1 Window Tinting,KY,,5024723065,86
1 King St,St. Augustine,29.891978,-81.311144,A1a Ale Works,FL,http://www.a1aaleworks.com,"9048249056, 9048292977",87
3112 Palm Ave,Fortmyers,26.619771999999998,-81.856486,Aaa Florida Vending,FL,,"2393344334, 2393321888",88
55 Center St,Brewer,44.797064,-68.76246400000001,Aaa Lock Safe & Security,ME,,2079895220,89
115 Workshop Ln,Jacksonville,34.77997164,-77.38788415,Abc Store,NC,,9104558121,90
3299 Hwy 46 S,Dickson,35.976844,-87.315152,Abiff's Pub,TN,,6154124224,91
21084 Highway 36,Abita Springs,30.481932,-90.0565,Abita Brewing Company,LA,,,92
1121 Quincy St N E,Minneapolis,44.998965999999996,-93.25121,Able Seedhouse + Brewery,MN,http://ablebeer.com,6124054642,93
16990 Via Tazon,San Diego,33.023852000000005,-117.08575900000001,Abnormal Beer Co,CA,,8.59E+09,94
531 S Main St,Brewer,44.77227,-68.78028,Above Beyond Hair Salon,ME,,2079895288,95
311 10th St,Golden,39.760011999999996,-105.21848,Ac Golden Brewing Co,CO,http://www.coors.com,3032796565,96
2603 Simpson Ave,Hoquiam,46.975229999999996,-123.86538,Ace of Clubs Tavern,WA,,3605329759,97
11 Main St W,Dutton,47.848152,-111.717026,Aces High Tavern,MT,,4064763589,98
510 Belleview,Crestedbutte,38.867028000000005,-106.98239,Acme Liquor Store,CO,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJ50316NpU1xhhvDbmcUAYh3EAS2eAVUhuFmDotDGogWuxrmOwXllR2UX2zZnC2duGWNWdNAYaUYrC9JqHfupgpbAI_eM3uPjEXrnGcJtuFp0hyjm1IKukT_fTCVgt-iJdYordW0OGZU_2EV7aS7TKGiHvONlhStxFwy1_ZHLKUjMwdKTNNGnNtK1ETV0fFqmzv8EzqNpyZxvScNIfOdSh85fSEBjUgYNmP17muYt5iERJ6F7hFZNQZgeX9xUPKKA5htx7jJyY6CRWS-sqUzkVsfKfY6-fmy1-e30_qzYsuSRnfpnr9OdMvLwfbDgcOamy1A58tvfEipipeUf2Td3Yds0l3uLTXKdo&placement=listing_profile&cs_user=unknown&cs_session=4909d7b3cebaff1a05237042dd1003fe4f8639c1,9703495709,99
1795 Hancock St,San Diego,32.742987,-117.185717,Acoustic Ales Brewing Experiment,CA,,6192992537,100
119 N Maple St,Traversecity,44.764263,-85.63296899999999,Acoustic Brewing Co,MI,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJmrEYcQbeDPJsAB-31Rb8QfQylBrv2NeWSkMx0WzyMdTwYRePDMWyrOU5VnzTQPEtfHJEW3XcFmUeZ_kcCwGU3QfIgsbyxycBTxS3cII9ErvXAiaVg2hi5wyJ17uYoJcfrokX_U7tCea7gE3t1tlRC3W1G4K3MPe_qGBXFayirkZzAhtwMOU87wVg8RQvVmRHdtbwB1IWpPqpU85jWrGwxE-eEyxpV_xwqqT9VPpOIDh_Jg5KnpPsPfAYULg06iztqBn4ICbdZHiLWUQzOBfa4XroqDQohHDasEScfPtHHmjhHl0er7qxDbvFnXc7H7DOywbUkrv1iRotsfGVniGB2_Pr9xboIoVrrJuH51KchngE37FdNbSl9A&placement=listing_profile&cs_user=unknown&cs_session=b4209ed5c939fb55365307d2a89bfdf5367d06e3,2317145028,101
3116 John D Odom Rd,Dothan,31.275806,-85.449793,Adams Beverages,AL,,3349835161,102
508 Walker St,Opelika,32.650487,-85.357366,Adams Beverages Inc,AL,,3347493488,103
104 N Lewis St,Monroe,47.85594013,-121.97099250000001,Adam's Northwest Bistro and Brewery,WA,adamsnwbistro.com,3607944056,104
193 Main St,Biddeford,43.493429,-70.455833,Adams Street Pub,ME,,2072834992,105
26421 Highway 47,Gaston,45.406712,-123.126351,Adea Wine Co,OR,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJN-mHZvZdmYoPjNK61A6bFXId7sj1XThA1G5_diEH19Xoorgt8fXeJ3PPJ2FAfqDRcsgPQoCDxkJ5-yBL4_Lew9wU9cTcDXMTrWA3Jde53v06J_4GD-on6A53qKsuyEH8mQznNsXcMNQDdQXz5TahrzmPOT-S3ot8ddwNEgR65rNtHPjeHPYndppIo4ohMJzvYtT4JtTHc7-EcJXBbeJ0-_0wwter1sBWz9cwQah9bc3PaIG-qI8pPfKBFY4UEG4lll1btdJV2jLBBRqm2yMFRVt9aHHfBnYDGLSOwPKcsoLAEThSo5SMA0KTVgZX9lj5v-bHpYfMeIMfPUPx3J75R6J_-yREuQHT&placement=listing_profile&cs_user=unknown&cs_session=a6d0a4663ecd7333e65bfa04594ca560d419883b,5036624509,106
5805 Adelaida Rd,Paso Robles,35.649284,-120.80133300000001,Adelaida Cellars Inc,CA,http://www.adelaida.com,"8006761232, 8052398980",107
2314 Rutland Dr,Austin,30.382618,-97.7201,Adelbert's Brewery,TX,,15126621462,108
202 W A Main St,Gouverneur,44.331444,-75.47606,Adirondack Toboggan Company Microbrewery,NY,,3157716313,109
1468 Airport Rd,Worland,43.971117,-107.95031100000001,Admiral Beverage Aviation,WY,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJRmrSSXdax0-rxn3FmakZKl3ITPUa4Gn-k9w0IjqFYvoJPy6teO-3-VY4AiB2GlpMCz4EjKznC-qLOWACifglGNvuD2ufKfZTaQg2fuinGABskjnsFNtPgjVWe3SFinsQlzHHEgiH2CCBDYI24b-1WSxYifvDHslb-3PmLDWvGXghvPtnfFQfUvsyZyAke5hPYGH4ZPCzvgmlvIFiMOCr-dLVrp5wFvZj4Sm72aiD2I2uv9Ddd-OtSkv0Qog2fy_BhIoARmT7o5aoYJ72gYhBBbQuamGaTswz5Kut2MJEHLjsTR6q4Y4uw2OIXt6ELmIfXBZW0vC2jVq5lY6C8-wrs27UJcFUByz4PaSIYZ3pg04&placement=listing_profile&cs_user=unknown&cs_session=d61a167f6b3818520d51e2c007eaf4f966c0dbc1,3073472193,110
404 Browning Ct,Purcellville,39.14392838,-77.72016151,Adroit Theory Brewing Company,VA,adroit-theory.com,7037223144,111
 Po Box 9517,Bakersfield,35.3538,-119.0615,Advance Beverage Co,CA,,6618333928,112
2403 Walnut Ridge St,Dallas,32.88393,-96.896794,Advanced Beverages,TX,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJSRKLpAD7dzc22-XHRAt2kq-WmSV5kGowZzBVuiq-wQTQ1zs7B34BeVeWAN4TKjB3q36cet0Ul_4SyMEF6F3ggNKhas_1QeiBQa3XRCd1_DehoPuL2IbL7-TQvUStAqpw5gcNP8vcwe1bXNEAKab3IOi-D8Y8kfz5j2mmjzjYlyjxnYnGj6jPkNVh8zKvMm-34gbu8ehUGSCw4oiov_toKb8Vs_KoH1TxF5r_r7_0N6z4_2TRqmfoE7CPJHTW9G1XQG8vpyorRvxZ3ekTuOhVBCoWdXcU_9BJ8NexoS5Csj8LxGtsGBJevm55p4r5ukXk7yFDUyjYGwFQpHsU7XqkJMd20ZRG0-J49yVwfznL9vs&placement=listing_profile&cs_user=unknown&cs_session=fb6efb03cfcd011481c4435d2382e33c77baa5eb,9724889339,113
33 Perchwood Dr,Fredericksburg,38.384518,-77.44055,Adventure Brewing Co,VA,http://eastcoaststrengthandpower.com,5.40E+09,114
23869 Van Born Rd,Taylor,42.268993,-83.268241,Adventures In Home Brewing,MI,,3132772739,115
1072 288th Ave,Burlington,42.642658000000004,-88.160186,Aeppeltreow Winery,WI,,2628785345,116
140 Cleveland Ave,Auburn,38.901223,-121.067931,Aero Brewing Co,CA,http://www.aerobrewing.com,5308890555,117
401 E Main St,Louisville,38.25546253,-85.74413399,Against The Grain Brewery & Smokehouse,KY,http://atgbrewery.com,5025150174,118
1098 Nick Young Rd,Eaglepoint,42.462094,-122.834767,Agate Ridge Vineyards,OR,http://api.citygridmedia.com/content/places/v2/click?q=9YKflVKbY9NauPJdMy0B1gS1IhB4xv4EWw0zDoT-UWc_izWF3zs5PKGdfOHubWrvM0QwDCYwbOH2fdLi0dK5xArULcksCCbfR-WWAz9xD1AmGVAQZIom4U3n5R4DuRC8WJCtvJcNItEKoCSfzwapuGnmwGnHDpEGYXGjnN4u8zXqkiimSHFf4_dbqGRbVgNJ5e9M_ID0zFWpTLgEoqpwfAlp6lIIQPGnovhb8LeR7Eq-oDNVJbCwQ9Hre3O3eCk2_Ejk3rg8DtK14eThdgcrFgvXHgcjqUWm913V_OcZos3UM7Bpfu4yjv68MNlbwi2ilmTLQS5b8vjBdenBdUUnahRqcH4v0NS827ngQK610fCKYctcMYaKtt_DTjvqUq_Jwek6dp1wSnwkqjCqE8B1YJ5cLj6kBnDLCl-c1z5ZhokRIR1Et8lJ8fGcmlVFK9XXy_WGNjLhLYVX6d-fk_zme4oTwZuwk2lSdtvflKnHp6i4k3hT-hrS2TgOLIizxre-F_LDRj2OREfAtoj35AtS_e3-HNaqqhbTKiTSW7e2pcY&placement=listing_profile&cs_user=unknown&cs_session=c5f2ac9ebd43bf499c19e4e609bdb3c0f4211ff3,5418303050,119
31115 W Corssroads Ln,Eugene,44.189133,-123.12815,Agrarian Ales Brewing Company,OR,,5416323803,120
99 Navarino St,Algoma,44.609127,-87.43505,Ahnapee Brewery,WI,,9207850822,121
140 Laurens St S W,Aiken,33.56035316,-81.72272865,Aiken Brewing Company,SC,aikenbrewingcompany.com,8035020707,122
405 N Main St,Brewer,44.80064,-68.75351500000001,Airline Pharmacy,ME,,2079892424,123
6644 S 196th St,Kent,47.426686,-122.252091,Airways Brewing Co,WA,http://www.airwaysbrewing.com,2539816187,124
4980 E 22nd St,Tucson,32.206853,-110.88705700000001,Al J's Tavern,AZ,,5205142774,125
110 Commerce St S,Hayneville,32.1878,-86.6643,Alabama Abc Board,AL,,3345482113,126
4476 Shipyard Rd,Mobile,30.598187,-88.14192,Alabama Crown Distributing Co.,AL,,2516669010,127
4765 N E Fremont St,Portland,45.548482,-122.613646,Alameda Brewhouse,OR,http://www.alamedabrewing.com,5034609025,128
1716 Park St,Alameda,37.768253,-122.2394,Alameda Island Brewing Company,CA,alamedaislandbrewingcompany.com,5102178885,129
202 Lamar St,San Antonio,29.431126000000003,-98.47728000000001,Alamo Beer Company,TX,,5124442337,130
323 Broadway St,San Antonio,29.429732,-98.486465,Alamo Draft House San Antonio,TX,,[2106778500],131
269 County Road 627,Milford,40.617,-75.1626,Alba Vineyard,NJ,,9089957800,132
